url,num_players,,,,
https://brawlace.com/rankings-power-league?countryCode=TW,50,,,East Asia,690
https://brawlace.com/rankings-power-league?countryCode=SG,40,,,SESA & ANZ,200
https://brawlace.com/rankings-power-league?countryCode=KR,190,,,Total,890
https://brawlace.com/rankings-power-league?countryCode=JP,500,,,,
https://brawlace.com/rankings-power-league?countryCode=HK,30,,,,
https://brawlace.com/rankings-power-league?countryCode=IN,50,,,,
https://brawlace.com/rankings-power-league?countryCode=AU,10,,,,
https://brawlace.com/rankings-power-league?countryCode=MY,20,,,,
